이름,rating,url
라베정20mg(라베프라졸나트륨) [Rebe Tab. 20mg],1,https://terms.naver.com/entry.naver?docId=2130260&cid=51000&categoryId=51000
라베건정20mg(라베프라졸나트륨) [Rabekuhn Tab. 20mg],0,https://terms.naver.com/entry.naver?docId=5754547&cid=51000&categoryId=51000
알피라베정20mg(라베프라졸나트륨) [RPrabe Tab. 20mg],1,https://terms.naver.com/entry.naver?docId=5769689&cid=51000&categoryId=51000
라베리튼정20mg(라베프라졸나트륨) [Belpran Tab. 20mg],0,https://terms.naver.com/entry.naver?docId=3404206&cid=51000&categoryId=51000
라베맥스정20mg(라베프라졸나트륨) [Rabemax Tab. 20mg(Rabeprazole)],2,https://terms.naver.com/entry.naver?docId=2698298&cid=51000&categoryId=51000
라베플러스정20mg(라베프라졸나트륨) [RABEPLUS Tab. 20mg(Rabeprazole Sodium)],3,https://terms.naver.com/entry.naver?docId=3353852&cid=51000&categoryId=51000
라베졸정20mg(라베프라졸나트륨) [Rabezol Tab. 20mg],2,https://terms.naver.com/entry.naver?docId=2131022&cid=51000&categoryId=51000
파리엔정20mg(라베프라졸나트륨) [Parien Tab. 20mg],0,https://terms.naver.com/entry.naver?docId=5911461&cid=51000&categoryId=51000
라벤프정20mg(라베프라졸나트륨) [Labenp 20mg],0,https://terms.naver.com/entry.naver?docId=5930359&cid=51000&categoryId=51000
알피린장용정(아스피린) [Alpirin Enteric Coated Tablet (Aspirin)],0,https://terms.naver.com/entry.naver?docId=2180171&cid=51000&categoryId=51000
케이아스피린장용정(아스피린) [K-Aspirin Enteric Coated Tab.],0,https://terms.naver.com/entry.naver?docId=5731821&cid=51000&categoryId=51000
유한아스피린장용정(아스피린) [Yuhan Aspirin Enteric Coated Tablet],8,https://terms.naver.com/entry.naver?docId=2131185&cid=51000&categoryId=51000
경동아스피린장용정 [KyungDong Aspirin enteric coated Tab.],1,https://terms.naver.com/entry.naver?docId=2130468&cid=51000&categoryId=51000
삼익아스피린장용정 [Samik Aspirin Enteric coated Tab.],0,https://terms.naver.com/entry.naver?docId=2129120&cid=51000&categoryId=51000
영진아스피린장용정 [Aspirin Enteric Coated Tab. Youngjin],0,https://terms.naver.com/entry.naver?docId=2153931&cid=51000&categoryId=51000
경보아스피린장용정 [Kyongbo Aspirin Enteric Coated Tab.],0,https://terms.naver.com/entry.naver?docId=2128620&cid=51000&categoryId=51000
삼진아스피린장용정 [Samjin Aspirin Enteric Coated Tab.],1,https://terms.naver.com/entry.naver?docId=2131995&cid=51000&categoryId=51000
서울아스피린장용정 [Seoul Aspirin Enteric Coated Tab.],0,https://terms.naver.com/entry.naver?docId=5716505&cid=51000&categoryId=51000
영일아스피린장용정100mg(아스피린) [Youngil Aspirin Enteric Coated Tab. 100mg],2,https://terms.naver.com/entry.naver?docId=2130821&cid=51000&categoryId=51000
슈다페드정(슈도에페드린염산염) [Sudafed Tab. 60mg],269,https://terms.naver.com/entry.naver?docId=2134728&cid=51000&categoryId=51000
펠루비정(펠루비프로펜) [Pelubi Tab.],43,https://terms.naver.com/entry.naver?docId=2146611&cid=51000&categoryId=51000
인데놀정10mg(프로프라놀롤염산염) [Indenol Tab. 10mg],272,https://terms.naver.com/entry.naver?docId=2141123&cid=51000&categoryId=51000
모티리톤정 [Motilitone tablet],305,https://terms.naver.com/entry.naver?docId=2126899&cid=51000&categoryId=51000
코푸정 [Cough Tab.],74,https://terms.naver.com/entry.naver?docId=2143596&cid=51000&categoryId=51000
페니라민정(클로르페니라민말레산염) [Peniramin Tablet],466,https://terms.naver.com/entry.naver?docId=2134512&cid=51000&categoryId=51000
후라시닐정(메트로니다졸) [Frasinyl Tab.],343,https://terms.naver.com/entry.naver?docId=2133029&cid=51000&categoryId=51000
액티피드정 [ACTIFED Tab.],282,https://terms.naver.com/entry.naver?docId=2134720&cid=51000&categoryId=51000
씨잘정5mg(레보세티리진염산염) [XYZAL TAB.],317,https://terms.naver.com/entry.naver?docId=2156868&cid=51000&categoryId=51000
펠루비서방정(펠루비프로펜) [Pelubi SR Tab. 45mg],47,https://terms.naver.com/entry.naver?docId=2698756&cid=51000&categoryId=51000
라토가정10mg(라푸티딘) [LATOGA TAB 10mg],0,https://terms.naver.com/entry.naver?docId=2131528&cid=51000&categoryId=51000
라푸니정(라푸티딘) [Lafuni Tab.],0,https://terms.naver.com/entry.naver?docId=5930409&cid=51000&categoryId=51000
라푸탄정10mg(라푸티딘),1,https://terms.naver.com/entry.naver?docId=5904585&cid=51000&categoryId=51000
아셀리온캡슐100mg(아세브로필린) [Acellion Capsules 100 mg(Acebrophylline)],2,https://terms.naver.com/entry.naver?docId=4294298&cid=51000&categoryId=51000
설포세린캡슐(아세브로필린) [Surfoceline Cap.],0,https://terms.naver.com/entry.naver?docId=4356098&cid=51000&categoryId=51000
오스픽심캡슐100mg(세픽심수화물) [Ausfixime cap. 100mg],0,https://terms.naver.com/entry.naver?docId=5753339&cid=51000&categoryId=51000
유니브로필린캡슐100mg(아세브로필린) [Uni Brophylline Cap. 100mg],0,https://terms.naver.com/entry.naver?docId=5798777&cid=51000&categoryId=51000
보령니트로푸란토인캡슐 [Boryung Nitrofurantoin Sol.],4,https://terms.naver.com/entry.naver?docId=5147435&cid=51000&categoryId=51000
프리졸캡슐(플루코나졸) [Freezol Caps.],0,https://terms.naver.com/entry.naver?docId=5904589&cid=51000&categoryId=51000
플루나졸캡슐(플루코나졸) [Flunazole Cap.],1,https://terms.naver.com/entry.naver?docId=2129550&cid=51000&categoryId=51000
프레라캡슐150mg(프레가발린) [Prela Cap. 150mg],0,https://terms.naver.com/entry.naver?docId=3614523&cid=51000&categoryId=51000
진브렉스캡슐200mg(세레콕시브),1,https://terms.naver.com/entry.naver?docId=5915251&cid=51000&categoryId=51000
진브렉스캡슐100mg(세레콕시브),0,https://terms.naver.com/entry.naver?docId=5946108&cid=51000&categoryId=51000
대웅바이오두타스테리드연질캡슐0.5mg [DAEWOONGBIO DUTASTERIDE SOFT CAP. 0.5MG],2,https://terms.naver.com/entry.naver?docId=3341166&cid=51000&categoryId=51000
타테린연질캡슐0.5mg(두타스테리드) [Taterin soft Cap.0.5mg],0,https://terms.naver.com/entry.naver?docId=3652409&cid=51000&categoryId=51000
대웅바이오두타스테리드정0.5mg [DAEWOONGBIO DUTASTERIDE TAB. 0.5MG],0,https://terms.naver.com/entry.naver?docId=5665968&cid=51000&categoryId=51000
아다모연질캡슐0.5mg(두타스테리드) [Adamo Soft Cap.],0,https://terms.naver.com/entry.naver?docId=4383134&cid=51000&categoryId=51000
두타겟연질캡슐0.5mg(두타스테리드) [DUTAGET SOFT CAP. 0.5mg],0,https://terms.naver.com/entry.naver?docId=3341152&cid=51000&categoryId=51000
두모보연질캡슐0.5mg(두타스테리드) [Dumobo Soft Cap. 0.5mg],0,https://terms.naver.com/entry.naver?docId=5954559&cid=51000&categoryId=51000
유로다트연질캡슐0.5mg(두타스테리드) [Urodart Soft Cap. 0.5mg],0,https://terms.naver.com/entry.naver?docId=3404119&cid=51000&categoryId=51000
동구두타리드연질캡슐(두타스테리드) [Dongkoo dutalid soft capsules(Dutasteride)],0,https://terms.naver.com/entry.naver?docId=6644235&cid=51000&categoryId=51000
메가두타연질캡슐0.5mg(두타스테리드) [Mega Duta Soft Cap. 0.5mg],0,https://terms.naver.com/entry.naver?docId=5931704&cid=51000&categoryId=51000
알포센연질캡슐(콜린알포세레이트),7,https://terms.naver.com/entry.naver?docId=3588552&cid=51000&categoryId=51000
동구발사르탄정80mg(발사르탄) [DongKoo Valsartan Tab. 80mg],0,https://terms.naver.com/entry.naver?docId=2122688&cid=51000&categoryId=51000
부광발사르탄정80mg [Valsartan Tablet 80mg Bukwang],0,https://terms.naver.com/entry.naver?docId=2128763&cid=51000&categoryId=51000
동구발사르탄정160mg [DongKoo Valsartan Tab. 160mg],0,https://terms.naver.com/entry.naver?docId=5946096&cid=51000&categoryId=51000
부광발사르탄정160mg [Valsartan Tablet 160mg Bukwang],0,https://terms.naver.com/entry.naver?docId=2127039&cid=51000&categoryId=51000
디잔틴정(발사르탄) [Dizantin Tab.],1,https://terms.naver.com/entry.naver?docId=2151272&cid=51000&categoryId=51000
발산정160mg (발사르탄) [Valsan Tab. 160mg],1,https://terms.naver.com/entry.naver?docId=3403758&cid=51000&categoryId=51000
발산정80mg(발사르탄) [Valsan Tab. 80mg],2,https://terms.naver.com/entry.naver?docId=2122709&cid=51000&categoryId=51000
발사벨정320mg(발사르탄) [Valsarbell Tab. 320mg],0,https://terms.naver.com/entry.naver?docId=2127950&cid=51000&categoryId=51000
발사로탄정(발사르탄) [Valsarotan Tab.],0,https://terms.naver.com/entry.naver?docId=5945702&cid=51000&categoryId=51000
네오반정80mg(발사르탄) [Neoban Tab. 80mg],0,https://terms.naver.com/entry.naver?docId=2151422&cid=51000&categoryId=51000
아다핀오스모서방정30mg(니페디핀) [Adapine OSMO Tab. 30mg],2,https://terms.naver.com/entry.naver?docId=2849681&cid=51000&categoryId=51000
알엠서방정500/5mg [RM SR Tab. 500/5mg],0,https://terms.naver.com/entry.naver?docId=5775438&cid=51000&categoryId=51000
알엠서방정750/5mg [RM SR Tab. 750/5mg],0,https://terms.naver.com/entry.naver?docId=5775437&cid=51000&categoryId=51000
알엠서방정500/10mg [RM SR Tab. 500/10mg],0,https://terms.naver.com/entry.naver?docId=5775436&cid=51000&categoryId=51000
알엠서방정750/10mg [RM SR Tab. 750/10mg],0,https://terms.naver.com/entry.naver?docId=5775435&cid=51000&categoryId=51000
다메트서방정5/500mg [Damet XR Tab. 5/500mg],0,https://terms.naver.com/entry.naver?docId=6638484&cid=51000&categoryId=51000
로수메트서방정5/750mg [Rosumet XR Tablet 5/750mg],0,https://terms.naver.com/entry.naver?docId=5661784&cid=51000&categoryId=51000
로수메트서방정5/500mg [Rosumet XR Tablet 5/500mg],0,https://terms.naver.com/entry.naver?docId=5661785&cid=51000&categoryId=51000
케이듀오서방정5/500mg [K-duo SR tab.5/500mg],0,https://terms.naver.com/entry.naver?docId=6638470&cid=51000&categoryId=51000
포시메트서방정5/500mg [Forximet XR tab. 5/500mg],0,https://terms.naver.com/entry.naver?docId=6638472&cid=51000&categoryId=51000
뉴마코연질캡슐(오메가-3-산에틸에스테르90) [Newmacor soft cap. (Omega-3-acid ethyl esters 90)],28,https://terms.naver.com/entry.naver?docId=2698190&cid=51000&categoryId=51000
뉴마코에스연질캡슐500mg(오메가-3-산에틸에스테르90... [Newmacor s soft capsule 500mg(Omega-3-acid ester 90)],0,https://terms.naver.com/entry.naver?docId=6682704&cid=51000&categoryId=51000
위마코연질캡슐(오메가-3-산에틸에스테르90) [Wimaco Soft Cap.],1,https://terms.naver.com/entry.naver?docId=5848318&cid=51000&categoryId=51000
미니마코연질캡슐500mg(오메가-3-산에틸에스테르90) [MINIMACOR soft capsule(Omega-3-acid ethyl esters 90)],0,https://terms.naver.com/entry.naver?docId=6684533&cid=51000&categoryId=51000
뉴마론연질캡슐0.5g(오메가-3-산에틸에스테르90) [Newmaron Soft Capsule 0.5g],0,https://terms.naver.com/entry.naver?docId=6684536&cid=51000&categoryId=51000
메가엠연질캡슐(오메가-3-산에틸에스테르90) [MegaM Soft Cap.],0,https://terms.naver.com/entry.naver?docId=5907496&cid=51000&categoryId=51000
오트리연질캡슐(오메가-3-산에틸에스테르90) [O-three Soft Cap.],0,https://terms.naver.com/entry.naver?docId=5954572&cid=51000&categoryId=51000
오메롤연질캡슐(오메가-3-산에틸에스테르90) [Omerol Soft Cap.],0,https://terms.naver.com/entry.naver?docId=5940654&cid=51000&categoryId=51000
오메간연질캡슐(오메가-3-산에틸에스테르90),0,https://terms.naver.com/entry.naver?docId=5945916&cid=51000&categoryId=51000
보령오메가3연질캡슐(오메가-3-산에틸에스테르90) [Boryung Omega-3 soft Cap.(Omega-3-acid etyl-ester 90)],1,https://terms.naver.com/entry.naver?docId=5753351&cid=51000&categoryId=51000
팜시비르정250mg(팜시클로비르) [Famcivir Tablets 250mg (Famciclovir)],5,https://terms.naver.com/entry.naver?docId=3340843&cid=51000&categoryId=51000
팜시아정(팜시클로비르) [Famcia Tabs],0,https://terms.naver.com/entry.naver?docId=5877982&cid=51000&categoryId=51000
팜시로바정(팜시클로비르) [Pamsirover Tab.],0,https://terms.naver.com/entry.naver?docId=2160662&cid=51000&categoryId=51000
디스포진정250mg(팜시클로비르) [Disfosin Tab. 250mg(Famciclovir)],0,https://terms.naver.com/entry.naver?docId=2160148&cid=51000&categoryId=51000
팜비스정(팜시클로비르) [Famvis Tab.],0,https://terms.naver.com/entry.naver?docId=5714163&cid=51000&categoryId=51000
제이팜시정250mg(팜시클로비르),0,https://terms.naver.com/entry.naver?docId=5755243&cid=51000&categoryId=51000
팜클레어정250mg(팜시클로비르) [Famclaer Tablet 250mg(Famciclovir)],1,https://terms.naver.com/entry.naver?docId=5843793&cid=51000&categoryId=51000
유가인정(옥틸로늄브롬화물) [Eugain Tab.],8,https://terms.naver.com/entry.naver?docId=2134126&cid=51000&categoryId=51000
유가인정40mg(옥틸로늄브롬화물) [Eugain Tab. 40mg],5,https://terms.naver.com/entry.naver?docId=5138166&cid=51000&categoryId=51000
마티란정(옥틸로늄브롬화물) [MATIRAN TAB.],0,https://terms.naver.com/entry.naver?docId=2135668&cid=51000&categoryId=51000
옥티란정(옥틸로늄브롬화물) [Octiran Tab.],1,https://terms.naver.com/entry.naver?docId=2136044&cid=51000&categoryId=51000
모디피정(옥틸로늄브롬화물) [Modipi Tab.],5,https://terms.naver.com/entry.naver?docId=2138176&cid=51000&categoryId=51000
옥파짐정(옥틸로늄브롬화물) [Ocpazim Tab.],2,https://terms.naver.com/entry.naver?docId=2139902&cid=51000&categoryId=51000
메녹틸정(옥틸로늄브롬화물) [MENOCTYL tablets],29,https://terms.naver.com/entry.naver?docId=2141246&cid=51000&categoryId=51000
오테란정(옥틸로늄브롬화물) [Oteran Tab(Octylonium Bromide)],8,https://terms.naver.com/entry.naver?docId=2140779&cid=51000&categoryId=51000
옥틸정20mg(옥틸로늄브롬화물) [OCTYL Tab. 20mg],1,https://terms.naver.com/entry.naver?docId=6080161&cid=51000&categoryId=51000
옥틸정40mg(옥틸로늄브롬화물) [OCTYL Tab. 40mg],12,https://terms.naver.com/entry.naver?docId=2131890&cid=51000&categoryId=51000
로스타젠정20mg(로수바스타틴칼슘) [ROSTAGEN TAB. 20MG(ROSUVASTATIN CA.)],0,https://terms.naver.com/entry.naver?docId=2180004&cid=51000&categoryId=51000
로스타젠정10mg(로수바스타틴칼슘) [ROSTAGEN TAB. 10MG(ROSUVASTATIN CA.)],0,https://terms.naver.com/entry.naver?docId=2180003&cid=51000&categoryId=51000
"한화로칸정 20/32mg(로수바스타틴칼슘, 칸데사르탄실... [Hanwharocan Tab. 20/32mg]",0,https://terms.naver.com/entry.naver?docId=6691154&cid=51000&categoryId=51000
레스타정5mg(로수바스타틴칼슘) [Resta Tab. 5mg],0,https://terms.naver.com/entry.naver?docId=5921646&cid=51000&categoryId=51000
크로원정5mg(로수바스타틴칼슘),0,https://terms.naver.com/entry.naver?docId=5839991&cid=51000&categoryId=51000
로수박정5mg(로수바스타틴칼슘),0,https://terms.naver.com/entry.naver?docId=5750714&cid=51000&categoryId=51000
로바원정5mg(로수바스타틴칼슘) [Rovawon Tab. 5mg],0,https://terms.naver.com/entry.naver?docId=5921653&cid=51000&categoryId=51000
크로원정10mg(로수바스타틴칼슘),0,https://terms.naver.com/entry.naver?docId=5839987&cid=51000&categoryId=51000
로바원정10mg(로수바스타틴칼슘) [Rovawon Tab. 10mg],0,https://terms.naver.com/entry.naver?docId=5921652&cid=51000&categoryId=51000
로수바틴정5mg(로수바스타틴칼슘) [Rosuvatin Tab. 5mg],0,https://terms.naver.com/entry.naver?docId=3396833&cid=51000&categoryId=51000
휴낙정(아세클로페낙) [Hunac Tab.],0,https://terms.naver.com/entry.naver?docId=2180163&cid=51000&categoryId=51000
더포르테씨정20mg(타다라필) [The Forte-C Tab. 20mg],4,https://terms.naver.com/entry.naver?docId=2766401&cid=51000&categoryId=51000
더포르테씨정5mg(타다라필) [The Forte-C Tab. 5mg],0,https://terms.naver.com/entry.naver?docId=2766402&cid=51000&categoryId=51000
윕스구강용해필름20mg(타다라필) [Wips ODF 20 mg],0,https://terms.naver.com/entry.naver?docId=5958570&cid=51000&categoryId=51000
윕스구강용해필름10mg(타다라필) [Wips ODF 10mg],0,https://terms.naver.com/entry.naver?docId=5958569&cid=51000&categoryId=51000
설레구강용해필름20mg(타다라필) [Seolle ODF. 20mg],0,https://terms.naver.com/entry.naver?docId=2849723&cid=51000&categoryId=51000
발그나필정10mg(타다라필) [BALGNAFIL Tab. 10mg (Tadalafil)],1,https://terms.naver.com/entry.naver?docId=3596564&cid=51000&categoryId=51000
발그나필정20mg(타다라필) [BALGNAFIL Tab. 20mg (Tadalafil)],0,https://terms.naver.com/entry.naver?docId=3596563&cid=51000&categoryId=51000
발그나필정5mg(타다라필) [BALGNAFIL Tab. 5mg (Tadalafil)],1,https://terms.naver.com/entry.naver?docId=3596562&cid=51000&categoryId=51000
제대로필구강용해필름5mg(타다라필) [JETEROFIL ODF 5mg],0,https://terms.naver.com/entry.naver?docId=3552496&cid=51000&categoryId=51000
카나보센정62.5mg(보센탄수화물(미분화)) [Canabosen tablet 62.5mg],0,https://terms.naver.com/entry.naver?docId=5951159&cid=51000&categoryId=51000
넥트라캡슐40mg(에스오메프라졸마그네슘이수화물) [Nektra Cap. 40mg (Esomeprozole Magnesium Dihydrate)],0,https://terms.naver.com/entry.naver?docId=2809310&cid=51000&categoryId=51000
에스오텍디알서방캡슐40mg(에스오메프라졸마그네슘이수화물... [Esotech DR Cap. 40mg],0,https://terms.naver.com/entry.naver?docId=6226193&cid=51000&categoryId=51000
유스메졸디알서방캡슐40mg(에스오메프라졸마그네슘이수화물... [Yoosmezole DR Cap. 40mg],0,https://terms.naver.com/entry.naver?docId=6226191&cid=51000&categoryId=51000
넥소졸캡슐40mg(에스오메프라졸마그네슘이수화물) [NEXOZOLE Capsule 40mg (Esomeprazole Magnesium Granule)],0,https://terms.naver.com/entry.naver?docId=2809533&cid=51000&categoryId=51000
에소멜캡슐40mg(에스오메프라졸마그네슘이수화물) [Esomel Cap. 40mg],0,https://terms.naver.com/entry.naver?docId=2809419&cid=51000&categoryId=51000
오시움캡슐40mg(에스오메프라졸마그네슘이수화물) [Auxium Cap. 40mg],1,https://terms.naver.com/entry.naver?docId=2809403&cid=51000&categoryId=51000
에소놀캡슐40mg(에스오메프라졸마그네슘이수화물) [Esonol Cap. 40mg],2,https://terms.naver.com/entry.naver?docId=2809469&cid=51000&categoryId=51000
에소마크캡슐40mg(에스오메프라졸마그네슘이수화물) [Esomach Cap. 40mg],0,https://terms.naver.com/entry.naver?docId=2809422&cid=51000&categoryId=51000
에소파졸캡슐40mg(에스오메프라졸마그네슘이수화물) [Esopazole Cap. 40mg],0,https://terms.naver.com/entry.naver?docId=2809421&cid=51000&categoryId=51000
유스메졸캡슐40mg(에스오메프라졸마그네슘이수화물) [Yoosmezole Cap. 40mg],1,https://terms.naver.com/entry.naver?docId=2809328&cid=51000&categoryId=51000
비페란플러스캡슐 [Bipheran Plus Cap.],14,https://terms.naver.com/entry.naver?docId=2125097&cid=51000&categoryId=51000
덴탑플러스캡슐 [Dentop Plus Cap.],5,https://terms.naver.com/entry.naver?docId=2124811&cid=51000&categoryId=51000
지셀플러스캡슐 [G-cell plus Cap.],5,https://terms.naver.com/entry.naver?docId=2698105&cid=51000&categoryId=51000
포텍플러스캡슐 [Fortec Plus Cap.],5,https://terms.naver.com/entry.naver?docId=3611904&cid=51000&categoryId=51000
콜드플러스캡슐,0,https://terms.naver.com/entry.naver?docId=2155703&cid=51000&categoryId=51000
산타몬플러스캡슐 [Santamon-Plus Cap.],2,https://terms.naver.com/entry.naver?docId=2145361&cid=51000&categoryId=51000
이탄탄플러스캡슐 [Itantan Plus Cap.],7,https://terms.naver.com/entry.naver?docId=2124139&cid=51000&categoryId=51000
덴티엔플러스캡슐 [Denti & plus Cap.],3,https://terms.naver.com/entry.naver?docId=2155816&cid=51000&categoryId=51000
루비돌플러스캡슐 [Rubydolplus Cap.],0,https://terms.naver.com/entry.naver?docId=3406436&cid=51000&categoryId=51000
이튼돌플러스캡슐 [Etundoll-Plus Cap.],6,https://terms.naver.com/entry.naver?docId=2124034&cid=51000&categoryId=51000
사일레노정3mg(독세핀염산염) [Silenor Tab. 3mg],32,https://terms.naver.com/entry.naver?docId=2131052&cid=51000&categoryId=51000
사일레노정6mg(독세핀염산염) [Silenor Tab. 6mg],18,https://terms.naver.com/entry.naver?docId=2131051&cid=51000&categoryId=51000
명세핀정3mg(독세핀염산염) [Myungcephin Tab. 3mg],19,https://terms.naver.com/entry.naver?docId=3406506&cid=51000&categoryId=51000
명세핀정6mg(독세핀염산염) [Myungcephin Tab. 6mg],5,https://terms.naver.com/entry.naver?docId=3406505&cid=51000&categoryId=51000
파마독세핀정3mg(독세핀염산염) [Pharma doxepin Tab. 3mg],0,https://terms.naver.com/entry.naver?docId=6692246&cid=51000&categoryId=51000
파마독세핀정6mg(독세핀염산염) [Pharma doxepin Tab. 6mg],0,https://terms.naver.com/entry.naver?docId=6692247&cid=51000&categoryId=51000
에피스타정(에피나스틴염산염) [EPISTAR TAB],0,https://terms.naver.com/entry.naver?docId=3652376&cid=51000&categoryId=51000
알러텐정20mg(에피나스틴염산염),0,https://terms.naver.com/entry.naver?docId=5839952&cid=51000&categoryId=51000
에피나민정(에피나스틴염산염) [Epinamin Tab.(Epinastine Hcl)],0,https://terms.naver.com/entry.naver?docId=3613045&cid=51000&categoryId=51000
알레리온정(에피나스틴염산염) [Allerion Tab.],32,https://terms.naver.com/entry.naver?docId=2698479&cid=51000&categoryId=51000
덱스딘주(덱스메데토미딘염산염) [Dexdine Inj.],0,https://terms.naver.com/entry.naver?docId=4394343&cid=51000&categoryId=51000
제라큐정75mg(라니티딘염산염) [Jera Q Tab. 75mg],0,https://terms.naver.com/entry.naver?docId=5798789&cid=51000&categoryId=51000
제라큐정150mg(라니티딘염산염) [Jera Q Tab. 150mg],0,https://terms.naver.com/entry.naver?docId=5835522&cid=51000&categoryId=51000
알비트리정 [Albitri Tab.],0,https://terms.naver.com/entry.naver?docId=2698660&cid=51000&categoryId=51000
알비트리디정 [Albitri D Tab.],1,https://terms.naver.com/entry.naver?docId=3340758&cid=51000&categoryId=51000
액토존정15mg(피오글리타존염산염) [Actozon Tab. 15mg],0,https://terms.naver.com/entry.naver?docId=2162898&cid=51000&categoryId=51000
액토존정30mg(피오글리타존염산염) [Actozon Tab. 30mg],0,https://terms.naver.com/entry.naver?docId=6654443&cid=51000&categoryId=51000
액토존메트정15/850mg [ActozonMet Tab. 15/850mg],0,https://terms.naver.com/entry.naver?docId=5844490&cid=51000&categoryId=51000
"듀글로우정10/15mg(다파글리플로진프로판디올수화물,피... [DUGLOW Tab 10/15 mg]",0,https://terms.naver.com/entry.naver?docId=6708933&cid=51000&categoryId=51000
덴티에프캡슐 [Denti F Cap.],0,https://terms.naver.com/entry.naver?docId=2162523&cid=51000&categoryId=51000
로우에프캡슐 [low F Capsule],0,https://terms.naver.com/entry.naver?docId=2148303&cid=51000&categoryId=51000
비엠쿨에프캡슐 [BM Cool-F Cap.],23,https://terms.naver.com/entry.naver?docId=2131435&cid=51000&categoryId=51000
로페도에프캡슐 [Lopedo F Cap.],13,https://terms.naver.com/entry.naver?docId=3405556&cid=51000&categoryId=51000
엔드콜에프캡슐 [Endcol F Cap.],0,https://terms.naver.com/entry.naver?docId=6156885&cid=51000&categoryId=51000
오메콜에프캡슐 [Omecol F Cap.],27,https://terms.naver.com/entry.naver?docId=2130639&cid=51000&categoryId=51000
티스란에프캡슐 [Teethran F Cap.],1,https://terms.naver.com/entry.naver?docId=2152904&cid=51000&categoryId=51000
세파콜에프캡슐,0,https://terms.naver.com/entry.naver?docId=5702432&cid=51000&categoryId=51000
이가탄에프캡슐 [Igatan F Cap.],6,https://terms.naver.com/entry.naver?docId=2164251&cid=51000&categoryId=51000
티스탑에프캡슐 [Tistop F Cap],0,https://terms.naver.com/entry.naver?docId=3611797&cid=51000&categoryId=51000
쿠티아핀정50mg(쿠에티아핀푸마르산염) [Qutiapine Tab. 50mg],0,https://terms.naver.com/entry.naver?docId=5959954&cid=51000&categoryId=51000
